Q,A,label,,,
나만 죽어라 고생하라는 거지.,고생시키려고 혼자 프로젝트를 맡겼다고 생각하시는군요.,2,,,
그저 기다렸어. 친구가 갚기 전까지는 어떤 일도 할 수 없었어.,주변에 지금의 상황을 공유하고 감정을 나눌 수 있는 사람이 있었으면 좋겠어요.,2,,,
도어락을 이중으로 설치하고 방범창도 달아야겠어.,철저한 대비로 다시는 이런 일이 일어나지 않기를 바라요.,2,,,
어떻게 나한테 이럴 수 있는 건지. 너무 상처야.,상처 받은 마음을 달래 줄 누군가가 옆에 있었으면 좋겠어요.,2,,,
내가 좀 더 관리해야지. 그러다 보면 수치도 좋아질 거야.,좀 더 관리하셔서 좋은 수치가 나왔으면 좋겠네요.,2,,,
가족들에게 영상 편지를 보내고 가족들 이름으로 암에 투병 중인 아이들에게 작은 후원을 하면 좋겠어.,영상 편지와 가족들 이름의 후원을 통해 마음이 잘 전해지길 바라요.,2,,,
가발을 구매해서 착용해보는게 좋을 것 같아.,가발을 착용해서 좋은 결과가 있었으면 좋겠어요.,2,,,
역시 사업을 한 번 시작해 보려고.,새로운 사업에 좋은 결과가 있으면 좋겠어요.,2,,,
친구가 나를 귀찮아하니 다른 동반자를 찾거나 혼자 등산해야겠어.,친구와 등산을 하지 않으려고 하시는군요.,2,,,
아들에게 먼저 미안하다고 말하고 아들이 상처 받은 부분이 뭔지 또 왜 잔소리라고 느끼는 건지 이야기해봐야겠어.,아들과 대화가 원만하게 진행되어 서로의 상처가 아물면 좋겠어요.,2,,,
아직은 그런 능력이 부족한 거 같아.,자연스러운 대화를 하는 것이 어렵다고 느끼시는군요.,2,,,
내가 원하는 치료방법과 가까운 병원을 선택해서 수술할까?,원하는 치료방법을 선택해서 수술이 잘 되길 진심으로 바라요.,2,,,
주변 사람들이 나는 요리를 잘하고 말을 조리 있게 잘한다고 평가해줬어.,요리를 잘하고 말을 조리있게 한다고 칭찬을 받으셨군요.,2,,,
그냥 존재 자체만으로도 너무 행복하고 좋아. 지금 기분을 잘 기억해야지.,존재만으로 기쁨을 주는군요. 기분을 잘 간직하실 수 있길 바라요.,2,,,
숨겨도 알게 될 것 같으니 사실대로 말하는 게 나을 것 같아.,대화를 통해 잘 해결이 되었으면 좋겠어요.,2,,,
응. 이왕이면 같은 조건에서 키가 작지 않았으면 좋겠어.,당신의 의견이 그렇다면 존중해요. 앞으로 이상형을 만나시면 좋겠네요.,2,,,
사람들 시선을 신경 쓰지 않고 큰 소리로 노래 부르면 기운이 날 것 같아.,신나게 노래하고 춤추면 가라앉았던 기분도 풀어질 거예요.,2,,,
부모님께 내 심정에 대해 말씀드려봐야겠어.,부모님께 내 심정을 말씀드려 상황이 나아지길 바라요.,2,,,
주변 사람들에게는 이미 방방곡곡 다 알렸어. 기뻐서 주체할 수가 없어!,주변 사람들에게 방방곡곡 다 알릴만큼 기뻐서 주체할 수가 없었군요.,2,,,
지금처럼 서로 감사하고 사랑하며 살아야지.,서로 감사하고 사랑하는 관계로 더욱 행복한 가정 이루세요.,2,,,
불행한 일을 겪고 나니 주변에 감사한 마음이 들고 갚으면서 살아야겠다는 생각이 들어.,감사한 마음을 갖고 사실 생각이시군요.,2,,,
법률 공부도 하고 자격증을 따려 해.,법률공부를 열심히 해서 훌륭한 사람이 되길 바라요.,2,,,
다른 친구에게 이야기해볼 생각이야.,다른 친구에게 이야기해볼 생각이시군요.,2,,,
평소엔 참 자상하고 여유 있는 사람인데 직장 동료들 얘기론 완벽주의자라고 하더라고. 결혼 준비도 일로 인식하는 걸까?,꼼꼼한 성격 때문에 고민이시군요.,2,,,
나뿐만 아니라 주변의 친구들도 비슷한 처지라 위안으로 삼고 있어.,같이 열심히 하는 친구들이 있어 정말 다행이에요. 저도 응원할게요.,2,,,
대화를 하면 서로에게 위로가 될까?,그럼요.진솔한 대화를 통해 서로가 위로가 되길 바랄게요.,2,,,
친구와 생전에 놀러 갔었던 곳을 다시 가서 마음을 정리해야겠어.,친구를 떠나보낸 슬픔이 조금 안정되었으면 좋겠네요.,2,,,
흡연하는 사람들이 내뿜는 담배 연기를 어쩔 수 없이 맡아야 할 때 정말 화가 나.,담배 연기 때문에 많이 불편하고 화가 나시는군요.,2,,,
남편이 퇴근하고 오면 진지하게 앞으로의 계획에 대해 이야기 해봐야겠어.,대화를 통해 일이 잘 해결되었으면 좋겠어요.,2,,,
더 다양하고 많은 운동을 시도 해봐야겠어.,원하는 목표를 달성하시길 바라요.,2,,,
과연 내가 할 수 있을까?,지금부터 열심히 하면 충분히 할 수 있을 거예요.,2,,,
내가 간식을 준비하면 친구들이 좋아하지 않을까?,친구들을 위해 간식을 준비하려고 하시는군요.,2,,,
스트레스를 푸는 게임을 하고 싶어.,스트레스 푸는 게임으로 기분을 해소하고 싶으시군요.,2,,,
앞으로 나한테 무슨일이 생길지 모르겠어서 그냥 다른 일이 시야에 들어오지 않아.,많이 힘드실테지만 힘내세요. 저희도 언제나 응원하고 있어요.,2,,,
회사에 입사하면서 세웠던 꿈을 이루었어.,꿈을 이루어서 정말 기분 좋으시겠어요.,2,,,
지금의 나도 일하게 해 줄 곳을 찾아봐야겠어.,일하게 해 줄 곳을 찾을 생각이군요.,2,,,
친구들은 이제 못 믿겠어. 믿을 건 가족뿐이니까 앞으로는 가족들한테만 집중해야겠어.,가족들과 더 많은 시간을 보내는 것은 좋은 방법인 것 같아요.,2,,,
의사와 허리 건강에 관해서 얘기를 잘해 봐야겠어.,의사와 허리 건강에 관해서 상담하려 하시는군요.,2,,,
나한테 상의도 없이 이런 일을 또 하면 이혼하겠다고 할 거야.,남편과의 대화가 잘 풀렸으면 좋겠네요.,2,,,
약보다는 운동을 해서 건강을 지키려고 해.,운동을 하려고 하시는군요.,2,,,
작은 선물을 준비했어. 학교에서 사용하면 좋을 노트북 말이야.,동생이 선물을 받고 좋아하면 좋겠어요.,2,,,
마음에 대한 이해 없이 경솔하게 충고를 한 건 내 실수야. 사과해야겠어.,실수를 인정하는 사용자님이 멋지네요. 친구 분과 관계가 회복되면 좋겠어요.,2,,,
부드러운 말로 타이르듯 해주면 좋겠어.,선생님이 좀 더 부드럽게 훈육을 하시게 되어 깨달음을 얻게 되길 바라요.,2,,,
주로 먼저 연락이 와서 받기만 했었지. 무슨 일이 있어서 그런 건지 한번 알아봐야겠어.,아드님과 꼭 연락이 닿으시길 바라요.,2,,,
가족들한테 상의해서 결정하는 게 좋을 것 같아.,가족분들과 잘 상의해서 좋은 결정을 내리셨으면 좋겠네요.,2,,,
아내가 말려서 절반은 그냥 은행에 넣어두었지. 그것마저 투자했다면 생각만 해도 아찔해.,모든 돈을 투자하지 않아서 아찔한 상황을 막으셨군요.,2,,,
아내와 대화해서 설득시켜 봐야겠어.,긍정적인 마음으로 결과를 기다리시면서 불안감이 해소되셨으면 좋겠네요.,2,,,
공부법을 바꿔서 다음에는 좋은 결과가 나오게끔 노력해야지.,노력을 통해 상황이 좋아지길 바라요.,2,,,
응. 친구들의 축가와 응원 속에서 양가 부모님도 너무 좋아하셨어.,모두가 만족스러운 결혼식이었다니 기쁘시겠군요.,2,,,
이별까지 이야기하는 건 오랫동안 염두에 두고 있었다는 거 아닐까?,여자친구가 진심이었는지 이성적으로 잘 이야기해 보시길 바라요.,2,,,
의사 말인데 믿을 수밖에 없지. 조금 더 관리해봐야겠어.,다음에 병원 갈 때는 좋은 소식이 있을 거예요.,2,,,
매일 아내 생각을 하며 아내의 몫까지 잘 살아야겠어.,지금의 슬픈 기분이 어떻게 달라지면 좋을까요?,2,,,
친구들과 수다를 떨면 좀 나아질 것 같아.,친구들과 좋은 시간을 보냈으면 좋겠어요.,2,,,
친한 친구에게 이런 감정을 털어놓고 싶어.,친한 친구와 대화를 나누며 극복해보려 하시는군요.,2,,,
다음 주 용돈에서 가불한다고 사실대로 말이나 해볼까?,사실대로 말해서 잘 해결되면 좋겠네요.,2,,,
잘못하면 친구를 잃을 수도 있을 거 같고.,친구와의 돈 문제로 고민이 많으시군요.,2,,,
너를 정말 사랑하지만 일할 때는 일에 집중하고 싶다고 얘기하려고.,일에 집중하고 싶다고 말씀하실 거군요. 잘 해결되면 좋겠어요.,2,,,
당분간 일을 쉬어야 자주 병문안을 올 수 있을 것 같아. 남편이랑 얘기해 봐야겠어.,남편과 얘기해 보려고 하시는군요.,2,,,
사람들과 조금씩 친해지려고 노력할거야. 그래야 여기서도 즐겁게 지낼 수 있으니까.,이동한 부서에서도 익숙해지며 사람들과 친해지길 바라요.,2,,,
공사 중 시끄럽고 복잡한 건 충분히 이해하겠는데 그렇다고 민원을 넣고 차가 못 다니게 도로를 막고 하는 건 너무한 거 아닌가? 정말이지 그 동네 사람들한테 환멸을 느껴.,그런 일이 있으셨군요. 이웃 주민들끼리 잘 지내고 싶으셨을 텐데 속상하셨겠네요.,2,,,
팀장님도 일 잘하는 사람한테는 이런 식으로 말하지 않을 것 같아 내가 정말 노력해야겠어.,노력에 대한 좋은 결과가 있길 바라요.,2,,,
아내에게 지금 내 상태를 털어놓고 상담해야겠어.,아내와의 이야기를 통해 긴장감이 풀리길 바랄게요.,2,,,
출근한 지 얼마 안 되었지만 같이 일하는 동료에게 도움을 부탁해볼 거야. 내일 커피 마시는 시간을 가져볼 거야.,그렇군요. 주변 동료와 긍정적인 대화가 되어서 업무에 도움 많이 받으시길 바랍니다. 좋은 시간 되기를 바랍니다.,2,,,
수건에다가 직접 예쁜 꽃을 자수 놓아 돌려야겠어. 누구든 꽃과 정성이 담긴 선물은 좋아하니까.,직접 놓은 꽃 자수 수건을 통해 마음이 잘 전달되면 좋겠어요.,2,,,
재산 분할 소송이라도 걸어 보려고 해.,소송을 통해 남편 분과의 문제가 잘 해결되길 바라요.,2,,,
걱정은 걱정으로 끝나므로 과감하게 여행을 다녀야겠어.,여행을 다님으로써 원하는 것을 이루셨으면 좋겠어요.,2,,,
회사 동료와 과장님 욕을 좀 해야겠어.,동생 분과의 진솔한 대화로 상황이 개선되길 바라요.,2,,,
언니에게 못 해준 만큼 앞으로 조카에게 신경을 쓰려고. 그러면 죄책감이 좀 덜어질 것 같아.,언니에게 못 준 정성을 조카에게 주고자 결심하셨군요. 좋은 이모가 될 것 같군요.,2,,,
원래도 사이가 안 좋아서 이번 기회에 이혼하자고 말하려고 해.,남편 분과 이혼하려고 마음먹으셨군요.,2,,,
밤에 잠들기가 두려워. 무슨 일 있을까 봐.,혼자라서 더 그러시겠어요.,2,,,
남자친구랑 심도 깊은 대화를 해봐야 할 거 같아. 왜 그런 생각 했는지 모르겠어.,잘 해결되기를 바라요.,2,,,
그냥 계속 진료받을 때는 불안했었는데 다른 분을 만나니 이분이 엄청 꼼꼼하고 잘 봐주는 거였어.,좋은 주치의를 만나 많이 신뢰하고 계시는군요.,2,,,
부모님께 선물을 사드릴 생각이야. 정말 기뻐하실 거야.,부모님께 선물을 사드릴 생각에 기쁘시군요.,2,,,
그래서 내일 사수하고 이야기하기로 했어.,사수하고 이야기하기로 했군요. 잘 해결되시길 바라요.,2,,,
엄마한테 학원을 안 다니겠다고 말해볼까?,어머니와의 대화로 기분이 나아지면 좋겠어요.,2,,,
지금이라도 받은 돈을 다시 돌려주고 정직하게 돈을 벌래.,비리로 받은 돈을 돌려 주려고 하시는군요.,2,,,
이제 자식들에게 기대를 내려놓아야지. 이번에 퇴원하면 이제 나도 나를 최우선에 두는 삶을 살 거야.,당신의 새로운 삶을 응원할게요.,2,,,
응. 거의 비통한 심정이야.,이럴때 도와주는 사람이 없나요?,2,,,
생각을 바꿔서 재시험을 기회로 바꿔야겠어.,좋은 결과가 있기를 바랄게요.,2,,,
어제는 당황해서 아무 말도 못 했는데 오늘 다시 얘기해봐야겠다.,대화를 통해 이유를 알고 잘 풀어서 관계를 회복하시길 바라요.,2,,,
누구의 잘못도 아니니 책망하지 말고 받아들이는 게 좋을 거 같아.,현재 상황을 받아들이려는 노력이 필요하다고 생각하시는군요.,2,,,
내가 해야 할 일이니 끝까지 최선을 다하는 게 맞는 것 같아.,끝까지 최선을 다해서 좋은 결과가 있었으면 좋겠어요.,2,,,
맞아. 내가 이렇게 힘들다는 걸 부모님께 말씀드려야겠어.,부모님이 괴로운 마음을 알아주시길 바랄게요.,2,,,
응. 처음에는 충격을 받았고 지금은 속상해.,지금 상황에서 기분이 조금 나아질 방법이 혹시 있을까요?,2,,,
사람들과 관계도 회복하고 그 친구에게도 진심을 전하고 싶어.,그러려면 어떻게 다가가는 게 좋을까요?,2,,,
언제까지 이 생활을 지속해야 할지도 모르겠어. 다 불안하고 힘들어.,지속되는 취업의 어려움으로 불안함을 느끼고 계시는군요. 잘 되길 바랄게요.,2,,,
아이의 교육에 관한 책을 읽어봐야겠어. 영상도 찾아보고 실천해보려고.,아드님을 잘 교육할 수 있는 좋은 방법을 찾으시면 좋겠어요.,2,,,
보약을 열심히 먹었더니 건강이 좋아진 것 같다고 이야기를 해야겠어.,아들에게 고마움이 잘 전달되길 바라요.,2,,,
완치 받아야 하니 내가 빨리 약 먹는 것에 익숙해져야지.,완치를 위해 약 복용에 익숙해져서 스트레스가 줄었으면 좋겠어요.,2,,,
이제는 목돈이 나가는 것에 대해 미리미리 계획을 세워놔야 할 것 같아.,바뀐 상황에 따라 생각도 바뀌었군요.,2,,,
그렇겠지. 그래서 아들과 자주 좋은 시간을 보내야겠어.,좋은 생각이십니다.,2,,,
일단 아빠랑 얘기를 더 해봐야겠어. 설득해봐야지.,아버지와의 대화를 통해 이 상황을 잘 극복하시길 바라요.,2,,,
장례식처럼 중요한 문제는 모두와 대화를 나누고 준비하는 게 맞는 거 같아.,만족스러운 준비가 되길 바랄게요.,2,,,
친구를 진심으로 걱정하는 마음으로 금주원에 들어가라고 권하고 싶네.,금주원을 추천하려 하시는군요. 친구가 금주원을 통해 어떻게 바뀌었으면 하시나요?,2,,,
회의를 준비해야 해서 내가 집에 가지러 갈 수가 없어. 방학이라 집에 동생이 있는데 동생에게 부탁해봐야겠어.,동생분이 시간 안에 자료를 가져다 주셔서 회의를 잘 마칠 수 있기를 바라요.,2,,,
다른 친구들이랑 그 친구를 맛있는 음식점에 데리고 갈 거야. 다른 친구들에게 그 친구가 말뿐이라는 걸 보여줄 거야.,친구들이 진실을 알아줘서 기분이 풀리셨으면 좋겠어요.,2,,,
일을 구해서 돈 벌이를 해야 할 텐데. 아들이랑 말을 좀 해봐야겠어.,아드님과의 대화로 상황이 나아질 수 있길 바라요.,2,,,
일단 할 수 있는 치료는 다 해봐야겠어.,사람들도 많이 만나고 대화도 하셔서 지금의 슬픔을 이겨내셨으면 좋겠어요.,2,,,
모르겠어. 온종일 눈물만 나고 너무 힘들어.,상황이 힘들어 눈물이 나시는군요.,2,,,
하지만 친구니까 응원해줄래. 조언도 받아서 내 취업에도 도움이 되도록 하고 싶어.,친구의 취업을 진심으로 축복해 준다면 언젠가 좋은 일이 생길 거예요.,2,,,
아무래도 안 되겠어. 어떻게든 내 건강을 좀 챙겨야겠어.,두려움을 이기시고 건강을 유지하시려는 것 같아요.,2,,,
딸과 진지한 대화를 나눠서 내가 얼마나 자랑스러워하는지 알려줘야겠어.,대화를 통해 좋은 해결 방법을 찾아 아드님의 수학 성적이 오르길 바랄게요.,2,,,
너무 무리하지 않는 선에서 예습을 해야겠어.,너무 무리하지 말고 힘내서 좋은 결과가 있길 바라요.,2,,,
이제 잠 깨고 정신 차려서 운전해야지. 친구도 타고 있으니까.,안전운전해서 행복한 여행이 되었으면 좋겠어요.,2,,,
줌바 댄스를 계속 하려고.,줌바 댄스를 통해 몸과 마음 모두 건강을 유지하시길 바라요.,2,,,
이 이야기를 다른 사람에게 해서 공감 받으면 좋겠지만 상처로 돌아올까 봐 못하겠어.,지금의 상황과 감정을 공유할 수 있는 사람이 가까이에 있었으면 좋겠어요.,2,,,
응 너무 설레어. 잠도 안 올 것 같아.,재미있는 수학여행 보내길 바랄게요.,2,,,
일단 아빠에게 그런 행동을 하지 말라고 얘기하고 쓰레기를 모을 수 있는 봉투를 준비하려고.,그런 행동들이 좋은 변화를 가져오면 좋겠어요.,2,,,
누나에게 말해야겠어. 내 물건 같으니 돌려달라고 말하는 게 좋은 방법인 것 같아.,누나에게 말하면 어떤 변화가 있을까요?,2,,,
내 말에 귀 기울일 사람이 별로 없는 거 같아.,누군가 진심으로 들어준다면 어떤 말을 들으면 위로가 될 거 같으세요?,2,,,
나와 우리 부모님을 칭찬하셨어.너무 뿌듯하더라고.,어떤 칭찬을 들으셨는지 듣고 싶어요!,2,,,
그냥 이제는 부모님한테 다 털어놓을래.,다른 친구와 대화하면서 기분이 나아지기를 바라요.,2,,,
통장에서 자동으로 이체가 되게 하는 방법도 괜찮을 거야.,말씀하신 방법으로 갈등이 해결됐으면 좋겠네요.,2,,,
엄마가 쓰시는 것 중 오래되고 낡은 것들을 새 것으로 사 드릴거야.,원하는 바를 이루시길 바라요.,2,,,
나가서 친구들이랑 가족 욕 좀 하고 와야겠어.,친구들과의 대화로 기분이 풀려고 하시는군요.,2,,,
나라도 날 축하해줘야겠지.,행복한 생일을 위해 계획을 짜 보려고 하시는군요.,2,,,
동생 부탁을 들어주고 동생에게 말을 잘 들으라고 하는 게 좋겠어.,동생과 잘 해결되면 좋겠어요.,2,,,
가족들에게 속상한 마음을 전해 보고 싶어.,속상한 마음을 가족들에게 전해 보려 하시는군요.,2,,,
역시 이대로라면 꿈이 없을 거 같으니 진로 박람회를 가는 것이 가장 좋을 거 같아.,진로 박람회를 통해 생각한 대로 잘 해결이 되었으면 좋겠어요.,2,,,
나랑 같은 학원을 다니게 됐다고 하더라고. 아는 친구가 하나도 없어서 같이 다니고 싶대. 너무 신나.,친구 분이 학원에서 아는 사람이 없으니 함께 다니자고 해서 신이 난 상황이시군요.,2,,,
기운 차리고 다음부턴 실수하지 않도록 주의해야 할 것 같아.,더 노력하는 자세로 속상함이 나아지길 바라요.,2,,,
할 수 없지. 완치 될 때까지 조금만 참아야지.,조금이라도 빨리 완치되시기를 바라요.,2,,,
조금씩 줄이는 게 좋을 거 같아 갑자기 확 끊으면 나중에 포기할지도 몰라.,운동을 열심히 해서 건강하시길 바랄게요.,2,,,
내가 사장이라면 잘랐을 거야. 내 일도 할 게 많은데 신입사원 일까지 신경 써야 해.,신입사원 때문에 스트레스가 많으신 것 같아요.,2,,,
이미 써버렸다고 하니 방법이 없어. 절망적이야.,부디 잘 해결되면 좋겠어요.,2,,,
연금도 받을 수 있으니 이제는 좀 쉬면서 살아야겠어.,앞으로 평화롭고 안정적인 노후 생활을 할 수 있기를 바라요.,2,,,
어떻게 믿고 결혼을 해야 하는지 모르겠어.,이번 일로 남자친구를 믿지 못하게 되신 것 같네요.,2,,,
다른 할멈과 이야기 해봐야겠어.,다른 할머님과 이야기 할 생각이군요.,2,,,
부장님 지시로 먼저 끝내야 하는 업무가 있어서 다른 업무는 늦어진다고 과장님께 말씀 드려야겠어.,과장님과 대리님께 말씀 드려서 생각한 대로 잘 해결하길 바라요.,2,,,
이 기분을 잊어버리게 빨리 놀러가는 날이 왔으면 좋겠네.,즐거운 휴가를 보내면서 기분이 나아지길 바라요.,2,,,
과를 검색해 보거나 상담을 받아 보거나.,원하는 과를 찾으셨으면 좋겠네요.,2,,,
다른 친구에게 그 친구가 나에게 오해하고 있는 것이 있는지 물어볼까 해.,다른 친구에게 물어봐서 그 친구와 오해를 풀어보려고 생각하시는군요.,2,,,
모르겠어. 정말 내 잘못인가 싶어서 눈물만 나와.,학교 내 폭력이나 괴롭힘이 사라지기를 바라시는군요.,2,,,
다음부턴 일을 제 시간에 마무리 할 수 있게 동기에게 고칠 부분을 알려줘야겠어.,일 처리에 대한 조언이 도움이 되서 다음엔 이런 일이 생기지 않게 되면 좋겠어요.,2,,,
응. 특히 가족들이 번갈아 내 간호를 해야 하는데 부끄럽고 미안한 마음이 커.,가족분들의 간호 때문에 미안하고 부끄러우시군요.,2,,,
앞으로 더 슬퍼하지 않고 최선을 다하여 남편을 병간호해야겠어.,슬픔을 거두고 최선을 다하여 남편을 병간호하기로 했군요.,2,,,
같이 있었다던 다른 친구들에게 연락을 돌려봐야겠어.,아드님의 병이 꼭 나아지고 재정 문제가 해결되면 좋겠어요.,2,,,
술을 줄이고 건강한 음식을 챙겨 먹어야겠어. 꾸준히 운동도 하고 말이야.,좋은 생각이야! 건강하시길 바라요.,2,,,
이제 너무 지쳐서 그만하고 싶어.,취업이 안 돼서 좌절감을 느끼시는군요.,2,,,
회사에 다른 부품을 제조하는 것으로 건의 해봐야겠어.,가족들이랑 자연 속에서 힐링하면서 쉬는 시간을 가지면 좋겠네요.,2,,,
나도 잘 모르겠어서 형이랑 누나에게 물어보려고.,형과 누나에게 좋은 조언을 듣고 잘 해결되길 바랄게요.,2,,,
그래서 나도 어제 담근 김치를 갖다주면서 고마움을 표현하려고해.,호의에 대한 감사함을 김치로 표현하려고 하시는군요.,2,,,
바쁘다는 핑계로 그간 미뤄뒀던 일도 하고 겨울 성수기 준비도 하면서 보내야겠어.,친구들과 즐거운 시간을 보내시길 바라요.,2,,,
옆에 있는 대리님께 먼저 물어봐야겠어.,회사 사람들에게 꼭 도움을 받으실 수 있길 바라요.,2,,,
전에도 친척 말 믿고 따라 했다가 시간이랑 돈만 허비했어. 그냥 빨리 병원에 가야겠어.,병원에 가서 치료받고 회복되시길 바랄게요.,2,,,
아빠한테 한 번 얘기해보는 것도 좋을 것 같아.,아빠랑 잘 얘기해서 문제가 해결되면 좋겠어요.,2,,,
내가 느낀 기분을 설명하고 진지하게 대화해보려고 해.,선생님께 이야기해서 범인을 잡아 억울한 누명을 벗으려 하시는군요.,2,,,
현재 내 상황을 피하지 말고 직면하면서 직접 내 문제와 부딪혀볼래.,자녀분들과 대화가 잘 되길 바랄게요.,2,,,
상담이라도 받아봐야 할 거 같아. 너무 힘들어.,힘든 상황이 꼭 나아지시길 응원할게요.,2,,,
그래. 왜 자원했는지 이해는 하는데 그래도 정말 너무 화가 나.,왜 자원했는지 이해는 되도 화가 풀리지는 않으시군요.,2,,,
저녁 식사 때 진지하게 얘기해봐야겠어.,남편분과의 대화가 잘 되면 좋겠어요.,2,,,
씨씨티비를 달아놔야겠어. 증거를 제시한 뒤에 해고를 시킬 거야.,간호사를 해고 시키려고 하시는군요.,2,,,
앞으로 모임에 좀 더 자주 참석하도록 노력해 봐야겠어.,모임에 더 자주 참석하기로 하셨네요.,2,,,
항상 부인과 함께하면 행복해.,부인과 함께 즐겁고 편안하게 주말을 보내시길 바라요.,2,,,
너무 다행이야. 이제라도 오랜만에 맘 편하게  두 다리 쭉 뻗고 잘 것 같아.,너무 좋으시겠어요. 푹 주무시길 바라요.,2,,,
자식에게 내 입장을 솔직하게 이야기해보는 것도 좋을 것 같아.,진지한 대화를 통해 일이 잘 해결되었으면 좋겠어요.,2,,,
엄마에게 솔직한 내 마음을 말할래.,어머니와의 대화가 잘 풀리길 바랄게요.,2,,,
팀원들에게 전달하고 우리는 다시 심기일전해서 다음 프로젝트 맞을 준비를 해야겠지.,스스로 적당히 조절하려고 하시는군요.,2,,,
나보다 아내가 고생 많이 했지. 아내와 둘이서만 여행이라도 하면서 삶의 여유를 만끽해볼까 싶어.,두 분 만의 시간을 가지려고 하시는군요.,2,,,
역시 통장에 넣어 두는 게 좋겠어. 그게 나중에 쓰기도 더 편할 것 같아.,원하시는 대로 은행에 넣으셔서 마음이 더 편해지셨으면 좋겠어요.,2,,,
사업 초반엔 거래처 확보가 안돼서 매출이 안 나왔지만 지금은 안정적으로 납품하고 있어 편안해.,거래처를 안정적으로 확보하셨군요. 앞으로도 사업이 번창하기를 바라요.,2,,,
인증샷만 찍고 거의 먹지 않더라고. 음식을 함부로 하는 모습에 실망했어.,다 먹지도 못할 음식을 사진 찍기용으로 가져다 와서 실망하셨군요.,2,,,
아무런 희망도 없어.,함께 있어 줄 수 있는 사람이 곁에 있었으면 좋겠군요.,2,,,
내가 고맙고 매 번 그렇게 안 챙겨 주셔도 된다고 이야기 해야겠어.,고맙다는 말로 두 분 모두 기분 좋은 하루가 되시길 바랄게요.,2,,,
맞아. 앞으로는 가족들과 매번 가스를 잠그고 나가기로 약속했어.,약속이 잘 지켜져 다음에는 이런일이 발생하지 않기를 바라요.,2,,,
나가서 동료와 직장 상사 욕 좀 하고 와야겠어.,회의에서 잘 풀렸으면 좋겠네요.,2,,,
내 아들들은 못난 엄마지만 나를 사랑해.,자녀분들은 나를 사랑하는군요.,2,,,
그리고 제품 종류도 너무 많아서 고르기도 힘들어. 그래도 이번에는 대기업 제품이라 믿었는데 말이야.,믿었던 대기업 제품에서 이물질이 나와 많이 당황하셨겠어요.,2,,,
마음을 편하게 먹어야 하는데 그게 잘 안되더라고. 청심환이라도 먹어야 하나 봐.,준비를 잘하시고 실제 상황처럼 연습하시다 보면 괜찮아지실 거예요.,2,,,
먼저 다가오는 사람을 의심하고 피하는 것 같아. 조금 더 열린 마음으로 사람을 대해봐야겠어.,마음이 충분히 열리지 못했다고 생각하셨나 봐요. 말씀대로 마음이 열리길 바랄게요.,2,,,
의사 선생님은 노화 현상 중에 하나라면서 약 끊지 말고 잘 먹으라고 하셨어.,그렇군요. 꼭 이겨내시기를 바랄게요.,2,,,
빨리 돈을 갚아버리고 저런 소리 안 들어야지. ,빨리 돈을 갚으실 생각이시군요.,2,,,
가족들과 만나서 상의한 다음에 경찰서라도 가 볼래.,가족들과 만남에서 위안과 해결책을 찾았으면 좋겠어요.,2,,,
가족회의를 열어야겠어. 다 같이 논의해보고 딸이 원하는 게 무엇인지 알아야겠어.,가족회의를 하면 어떤 점이 좋을까요?,2,,,
남자친구와 헤어질 거야.,남자친구와 헤어질 생각이시군요.,2,,,
인터넷에 글을 써서 올려보는 게 좋을 것 같아. 친구들과 공유하고 싶어.,좋은 책을 공유하여 많은 친구들이 읽어볼 수 있으면 좋겠어요.,2,,,
일단 결혼한 상대에게 이 사실을 알려야겠어.,당신의 생각대로 잘 해결되었으면 좋겠네요.,2,,,
친구를 만나서 술 말고 이야기나 해야겠어.,친구와 대화하면서 기분이 나아지길 바라요.,2,,,
그럴 때마다 다른 주제로 돌리던가 아빠에게 솔직히 내 감정을 말해 봐야겠어.,아버지에게 솔직한 감정이 잘 전달되시길 바라요.,2,,,
지금도 매일 혼자 외롭게 멍하게 지내다 보니 아직 아무 생각도 못 했어.,앞으로는 더 즐겁게 지내기 위해 고민을 시작한 상황이네요.,2,,,
병원에라도 가보는 것이 좋을까 싶어. 나 혼자서는 아무것도 할 수 없어.,병원에서의 진찰을 통해 적절한 처방을 받거나 치료되면 좋겠어요.,2,,,
어떻게 방법이 없나 내가 알아봐서 도와줄 생각이야.,방법을 찾아 친구를 도와주실생각이시군요.,2,,,
친한 친구들을 만나서 위로받고 싶어.,친한 친구들에게 마음을 위로받고 싶어 하시는군요. ,2,,,
앞으로는 회식에 다 참여하지 않고 술도 마시지 않을 거야.,대화를 통해 상황이 해결되었으면 좋겠어요.,2,,,
사람들이 나를 싫어하는 것 같으니까 더 다가가지 말아야겠어. 나도 더 당당해질 거야.,이전보다 더 당당해질 생각이군요.,2,,,
아내와 나가서 기분 전환이나 할까 봐.,아내분과 함께하여 기분 전환이 되셨으면 좋겠어요.,2,,,
나이를 무시 못 하겠어. 가장 무서운 게 나이를 자꾸 먹는다는 것이 겁이 나.,나이가 들면서 건강이 약해지는 것이 겁나는군요.,2,,,
고마워. 아들과 딸들에게도 면목이 좀 설 것 같아.,자식들에게 면목이 서시는군요.,2,,,
우선 아이를 키울 환경을 조성해야 될 것 같아. 이왕 임신한 거면 아이는 잘 키우고 싶어.,부디 아이를 맞이할 준비를 잘 하시길 바랄게요.,2,,,
